,rssi.242,rssi.94,rssi.h,rssi.245,outcome
1,-83,-101,-73,-74,1
2,-84,-99,-74,-75,1
3,-83,-101,-69,-74,1
4,-85,-100,-69,-75,1
5,-83,-103,-68,-73,1
6,-86,-93,-63,-81,1
7,-86,-92,-63,-80,1
8,-84,-94,-62,-81,1
9,-85,-92,-62,-81,1
10,-85,-94,-62,-81,1
11,-86,-93,-61,-81,1
12,-83,-93,-60,-80,1
13,-85,-92,-62,-77,1
14,-88,-92,-64,-80,1
15,-85,-93,-60,-77,1
16,-88,-92,-62,-80,1
17,-84,-92,-62,-78,1
18,-87,-92,-60,-79,1
19,-84,-92,-63,-78,1
20,-83,-91,-65,-64,1
21,-87,-93,-61,-72,1
22,-91,-93,-60,-69,1
23,-90,-93,-59,-71,1
24,-89,-95,-60,-69,1
25,-87,-94,-59,-70,1
26,-89,-92,-59,-70,1
27,-88,-94,-59,-69,1
28,-89,-95,-60,-70,1
29,-87,-95,-59,-69,1
30,-85,-95,-60,-69,1
31,-84,-94,-59,-71,1
32,-86,-94,-59,-69,1
33,-88,-94,-59,-70,1
34,-85,-94,-59,-69,1
35,-89,-94,-60,-70,1
36,-84,-93,-59,-69,1
37,-84,-93,-59,-70,1
38,-85,-91,-59,-69,1
39,-86,-93,-60,-70,1
40,-86,-93,-59,-69,1
41,-86,-94,-59,-70,1
42,-85,-92,-59,-70,1
43,-86,-94,-59,-70,1
44,-85,-92,-60,-69,1
45,-85,-93,-60,-69,1
46,-86,-92,-59,-69,1
47,-82,-92,-59,-69,1
48,-84,-91,-60,-70,1
49,-87,-92,-59,-70,1
50,-90,-93,-59,-69,1
51,-91,-93,-59,-70,1
52,-89,-93,-59,-72,1
53,-90,-94,-60,-70,1
54,-89,-94,-59,-70,1
55,-87,-94,-59,-70,1
56,-86,-93,-60,-74,1
57,-84,-92,-60,-69,1
58,-85,-93,-60,-69,1
59,-85,-93,-58,-69,1
60,-85,-95,-58,-69,1
61,-86,-94,-58,-68,1
62,-88,-93,-58,-70,1
63,-87,-93,-57,-68,1
64,-88,-92,-58,-70,1
65,-89,-94,-57,-71,1
66,-88,-95,-59,-69,1
67,-84,-92,-57,-69,1
68,-87,-92,-56,-69,1
69,-87,-94,-57,-69,1
70,-90,-93,-57,-70,1
71,-88,-96,-56,-69,1
72,-80,-87,-66,-59,2
73,-77,-85,-60,-60,2
74,-76,-86,-61,-60,2
75,-73,-86,-59,-53,2
76,-77,-92,-61,-59,2
77,-81,-89,-60,-58,2
78,-78,-87,-59,-62,2
79,-75,-84,-59,-55,2
80,-76,-85,-59,-57,2
81,-74,-85,-59,-55,2
